Variable,test_statistic,p,-log2(p),위반 여부
Age,12.34100456309611,0.0004,11.14002630863069,★ 위반
Era_Before2005,6.238312594648289,0.0125,6.321748844519264,★ 위반
Grade_G3,0.014949803767917567,0.9027,0.14770438476709696,충족
Grade_G4,0.33873193737952556,0.5606,0.8350539203666368,충족
Prior_cancer,1.5958080287840455,0.2065,2.2757982790370628,충족
Sex,1.388321764970892,0.2387,2.066797718854422,충족
Site_Cerebrum,0.1658099596748568,0.6839,0.5482211873309957,충족
Site_Other,0.24656112792701348,0.6195,0.6908075809524912,충족
Tx_None,15.418614254447384,0.0001,13.503030327717587,★ 위반
Tx_Single,1.2772328007535507,0.2584,1.9522428359561619,충족
