Feature,PFI_RSF,PFI_GBM,SHAP_RSF,SHAP_GBM,Rank_PFI_RSF,Rank_PFI_GBM,Rank_SHAP_RSF,Rank_SHAP_GBM,Avg_Rank
Grade_G4,0.0771,0.0803,104.6512,0.5823,1,1,1,1,1.0
Age,0.0697,0.0762,103.9613,0.5345,2,2,2,2,2.0
Grade_G2,0.0027,0.0105,8.1517,0.1745,5,3,6,3,4.2
Site_BrainNOS,0.007,0.0004,26.0283,0.0346,3,9,3,9,6.0
Tx_Single,0.0061,0.0042,6.4307,0.0374,4,5,8,7,6.0
Era_After2005,0.0012,0.0035,6.1602,0.0449,6,6,9,6,6.8
Sex,-0.0002,0.0022,13.1451,0.0613,14,7,4,4,7.2
Tx_Standard,0.0001,0.0003,7.9129,0.0481,10,10,7,5,8.0
Grade_G3,0.0006,0.0009,4.6125,0.0366,9,8,11,8,9.0
Tx_None,0.0,0.0061,0.0,0.0237,11,4,13,10,9.5
Site_Cerebrum,0.0007,-0.0001,9.9709,0.0062,8,13,5,13,9.8
Era_Before2005,0.0008,-0.0001,5.2793,0.0195,7,13,10,12,10.5
Prior_cancer,-0.0001,0.0001,0.5167,0.0227,13,11,12,11,11.8
Site_Other,0.0,0.0,0.0,0.0007,11,12,13,14,12.5
